$Starting_x$, $Starting_y$, $Starting_z$, Function Val, $Search Direction_x$, $Search Direction_y$, $Search Direction_z$, Step Length, Number of Objective Evaluations
10.000000, 10.000000, 10.000000, 154.343825, -0.994269, 0.064146, -0.085528, 7.818505, 11.000000 
2.226306, 10.501529, 9.331295, 38.883122, 0.033560, -0.572300, -0.819357, 12.526136, 22.000000 
2.646680, 3.332821, -0.932087, 1.547244, -0.976543, 0.155690, -0.148744, 2.512183, 31.000000 
0.193426, 3.723944, -1.305758, -12.992294, 0.123689, -0.159847, -0.979362, 4.380826, 40.000000 
0.735284, 3.023680, -5.596172, -18.666244, -0.981909, 0.122884, -0.144067, 0.979809, 47.000000 
-0.226799, 3.144083, -5.737330, -20.913770, 0.104303, -0.283997, -0.953135, 1.721006, 55.000000 
-0.047292, 2.655322, -7.377682, -21.804129, -0.980760, 0.129642, -0.145955, 0.388142, 61.000000 
-0.427967, 2.705642, -7.434333, -22.157079, 0.108735, -0.258162, -0.959963, 0.681980, 68.000000 
-0.353812, 2.529581, -8.089008, -22.296993, -0.980997, 0.128234, -0.145603, 0.153865, 73.000000 
-0.504753, 2.549312, -8.111412, -22.352459, 0.107833, -0.263520, -0.958608, 0.270350, 78.000000 
-0.475600, 2.478069, -8.370572, -22.374447, -0.980948, 0.128524, -0.145677, 0.060996, 82.000000 
-0.535434, 2.485908, -8.379457, -22.383164, 0.108020, -0.262414, -0.958890, 0.107174, 86.000000 
-0.523857, 2.457784, -8.482226, -22.386619, -0.980958, 0.128464, -0.145662, 0.024181, 92.000000 
-0.547577, 2.460891, -8.485748, -22.387989, 0.107981, -0.262642, -0.958832, 0.042487, 99.000000 
-0.542990, 2.449732, -8.526485, -22.388532, -0.980956, 0.128477, -0.145665, 0.009586, 104.000000 
-0.552393, 2.450963, -8.527882, -22.388747, 0.107989, -0.262595, -0.958844, 0.016843, 110.000000 
-0.550574, 2.446541, -8.544031, -22.388833, -0.980957, 0.128474, -0.145665, 0.003800, 118.000000 
-0.554302, 2.447029, -8.544585, -22.388867, 0.107988, -0.262605, -0.958842, 0.006677, 123.000000 
-0.553581, 2.445275, -8.550987, -22.388880, -0.980957, 0.128475, -0.145665, 0.001506, 130.000000 
-0.555059, 2.445469, -8.551206, -22.388885, 0.107988, -0.262603, -0.958842, 0.002647, 137.000000 
-0.554773, 2.444774, -8.553744, -22.388888, -0.980957, 0.128475, -0.145665, 0.000597, 143.000000 
-0.555359, 2.444851, -8.553831, -22.388888, 0.107988, -0.262603, -0.958842, 0.001049, 149.000000 
-0.555245, 2.444575, -8.554838, -22.388889, -0.980957, 0.128475, -0.145665, 0.000237, 157.000000 
-0.555477, 2.444605, -8.554872, -22.388889, 0.107988, -0.262603, -0.958842, 0.000416, 166.000000 
-0.555433, 2.444496, -8.555271, -22.388889, -0.980957, 0.128475, -0.145664, 0.000094, 173.000000 
-0.555525, 2.444508, -8.555285, -22.388889, 0.107988, -0.262603, -0.958842, 0.000165, 181.000000 
-0.555507, 2.444465, -8.555443, -22.388889, -0.980957, 0.128475, -0.145665, 0.000037, 191.000000 
-0.555543, 2.444470, -8.555448, -22.388889, 0.107978, -0.262602, -0.958844, 0.000065, 198.000000 
-0.555536, 2.444453, -8.555511, -22.388889, -0.980958, 0.128478, -0.145654, 0.000015, 206.000000 
-0.555551, 2.444454, -8.555513, -22.388889, 0.107983, -0.262603, -0.958843, 0.000026, 215.000000 
-0.555548, 2.444448, -8.555538, -22.388889, -0.980958, 0.128478, -0.145653, 0.000006, 223.000000 
-0.555554, 2.444448, -8.555539, -22.388889, 0.108024, -0.262608, -0.958837, 0.000010, 231.000000 
-0.555553, 2.444446, -8.555549, -22.388889, -0.980962, 0.128488, -0.145616, 0.000002, 241.000000 
